start,end,block,first_version,status
72384,72447,"Pau Cin Hau",7.0.0,active
72704,72815,Bhaiksuki,9.0.0,active
72816,72895,Marchen,9.0.0,active
72960,73055,"Masaram Gondi",10.0.0,active
73056,73135,"Gunjala Gondi",11.0.0,active
73440,73471,Makasar,11.0.0,active
73648,73663,"Lisu Supplement",13.0.0,active
73664,73727,"Tamil Supplement",12.0.0,active
73728,74751,Cuneiform,5.0.0,active
74752,74879,"Cuneiform Numbers and Punctuation",5.0.0,active
74880,75087,"Early Dynastic Cuneiform",8.0.0,active
77712,77823,Cypro-Minoan,14.0.0,active
77824,78895,"Egyptian Hieroglyphs",5.2.0,active
78896,78911,"Egyptian Hieroglyph Format Controls",12.0.0,active
82944,83583,"Anatolian Hieroglyphs",8.0.0,active
92160,92735,"Bamum Supplement",6.0.0,active
92736,92783,Mro,7.0.0,active
92784,92879,Tangsa,14.0.0,active
92880,92927,"Bassa Vah",7.0.0,active
92928,93071,"Pahawh Hmong",7.0.0,active
93760,93855,Medefaidrin,11.0.0,active
93952,94111,Miao,6.1.0,active
94176,94207,"Ideographic Symbols and Punctuation",9.0.0,active
94208,100351,Tangut,9.0.0,active
100352,101119,"Tangut Components",9.0.0,active
101120,101631,"Khitan Small Script",13.0.0,active
101632,101759,"Tangut Supplement",13.0.0,active
110576,110591,"Kana Extended-B",14.0.0,active
110592,110847,"Kana Supplement",6.0.0,active
110848,110895,"Kana Extended-A",10.0.0,active
110896,110959,"Small Kana Extension",12.0.0,active
110960,111359,Nushu,10.0.0,active
113664,113823,Duployan,7.0.0,active
113824,113839,"Shorthand Format Controls",7.0.0,active
118528,118735,"Znamenny Musical Notation",14.0.0,active
118784,119039,"Byzantine Musical Symbols",3.1.0,active
119040,119295,"Musical Symbols",3.1.0,active
119296,119375,"Ancient Greek Musical Notation",4.1.0,active
119520,119551,"Mayan Numerals",11.0.0,active
119552,119647,"Tai Xuan Jing Symbols",4.0.0,active
119648,119679,"Counting Rod Numerals",5.0.0,active
119808,120831,"Mathematical Alphanumeric Symbols",3.1.0,active
120832,121519,"Sutton SignWriting",8.0.0,active
122624,122879,"Latin Extended-G",14.0.0,active
122880,122927,"Glagolitic Supplement",9.0.0,active
123136,123215,"Nyiakeng Puachue Hmong",12.0.0,active
123536,123583,Toto,14.0.0,active
123584,123647,Wancho,12.0.0,active
124896,124927,"Ethiopic Extended-B",14.0.0,active
124928,125151,"Mende Kikakui",7.0.0,active
125184,125279,Adlam,9.0.0,active
126064,126143,"Indic Siyaq Numbers",11.0.0,active
126208,126287,"Ottoman Siyaq Numbers",12.0.0,active
126464,126719,"Arabic Mathematical Alphabetic Symbols",6.1.0,active
126976,127023,"Mahjong Tiles",5.1.0,active
127024,127135,"Domino Tiles",5.1.0,active
127136,127231,"Playing Cards",6.0.0,active
127232,127487,"Enclosed Alphanumeric Supplement",5.2.0,active
127488,127743,"Enclosed Ideographic Supplement",5.2.0,active
127744,128511,"Miscellaneous Symbols and Pictographs",6.0.0,active
128512,128591,Emoticons,6.0.0,active
128592,128639,"Ornamental Dingbats",7.0.0,active
128640,128767,"Transport and Map Symbols",6.0.0,active
128768,128895,"Alchemical Symbols",6.0.0,active
128896,129023,"Geometric Shapes Extended",7.0.0,active
129024,129279,"Supplemental Arrows-C",7.0.0,active
129280,129535,"Supplemental Symbols and Pictographs",8.0.0,active
129536,129647,"Chess Symbols",11.0.0,active
129648,129791,"Symbols and Pictographs Extended-A",12.0.0,active
129792,130047,"Symbols for Legacy Computing",13.0.0,active
131072,173791,"CJK Unified Ideographs Extension B",3.1.0,active
173824,177983,"CJK Unified Ideographs Extension C",5.2.0,active
177984,178207,"CJK Unified Ideographs Extension D",6.0.0,active
178208,183983,"CJK Unified Ideographs Extension E",8.0.0,active
183984,191471,"CJK Unified Ideographs Extension F",10.0.0,active
194560,195103,"CJK Compatibility Ideographs Supplement",3.1.0,active
196608,201551,"CJK Unified Ideographs Extension G",13.0.0,active
917504,917631,Tags,3.1.0,active
917760,917999,"Variation Selectors Supplement",4.0.0,active
983040,1048575,"Supplementary Private Use Area-A",3.1.0,active
1048576,1114111,"Supplementary Private Use Area-B",3.1.0,active
